detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,f1afbd25-3e5a-4301-84cc-0674861202f7,rvbcezyxmlwpqpugslvg,1748513548904000
null,LOG,connection received: host=::1 port=61513,null,ba7105e9-8904-4082-96bd-0dd995580a3a,rvbcezyxmlwpqpugslvg,1748513548903000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,0f430c3c-9ffa-45df-b359-d31fe3733e32,rvbcezyxmlwpqpugslvg,1748513540973000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,7aac21d9-304d-46d3-af7a-2bdb275a3168,rvbcezyxmlwpqpugslvg,1748513540973000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,db0f5c98-dafc-4e59-a0cb-a7c3db3758a5,rvbcezyxmlwpqpugslvg,1748513540971000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,982e4296-06b2-4708-b073-1d083de84ac2,rvbcezyxmlwpqpugslvg,1748513540965000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e9431433-ddf2-49e3-9b4a-e7e1dfb0143f,rvbcezyxmlwpqpugslvg,1748513540962000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d959f03d-3592-4559-86a3-2dce36662c9a,rvbcezyxmlwpqpugslvg,1748513540954000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,08e4d490-9e12-4870-965c-a1b14a604748,rvbcezyxmlwpqpugslvg,1748513540914000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,387f2fbe-cd43-4924-a06b-aaa153511b74,rvbcezyxmlwpqpugslvg,1748513540865000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a3b91d4a-8da0-4585-8d2c-877343c1504a,rvbcezyxmlwpqpugslvg,1748513540770000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,019c653d-4a63-4939-9ac7-60a0f7f5d368,rvbcezyxmlwpqpugslvg,1748513540679000
null,LOG,connection received: host=::1 port=6761,null,ddf91a9e-1f6a-4aa9-a4c0-dd7e2c463549,rvbcezyxmlwpqpugslvg,1748513540671000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,a8a674f0-6479-4ad1-9f97-af4726fa42c4,rvbcezyxmlwpqpugslvg,1748513488903000
null,LOG,connection received: host=::1 port=12561,null,0cb34c7a-75d2-4274-a48a-13d2429ebafd,rvbcezyxmlwpqpugslvg,1748513488902000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,5a0de76c-17f4-45e6-afb6-2372cca1817f,rvbcezyxmlwpqpugslvg,1748513449189000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,eddf756d-f771-4f99-8b71-e28b737b0fe5,rvbcezyxmlwpqpugslvg,1748513449173000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,f448e849-c3a8-406c-9f66-7dfa0a843021,rvbcezyxmlwpqpugslvg,1748513449093000
